position,variant,seat_count,fold_rate,check_rate,call_rate,raise_rate
p1,10,6,64.52,12.9,12.9,9.68
p2,10,6,41.18,14.71,8.82,35.29
p3,10,6,58.62,0.0,13.79,27.59
p4,10,6,31.25,9.38,18.75,40.63
p5,10,6,61.54,7.69,23.08,7.69
p1,10,9,52.63,14.04,14.04,19.3
p2,10,9,45.61,17.54,8.77,28.07
p3,10,9,51.85,11.11,20.37,16.67
p4,10,9,54.9,15.69,11.76,17.65
p5,10,9,45.76,16.95,25.42,11.86
p6,10,9,59.52,2.38,11.9,26.19
p7,10,9,60.0,11.43,11.43,17.14
p8,10,9,44.44,16.67,22.22,16.67
p1,20,6,100.0,0.0,0.0,0.0
p3,20,6,100.0,0.0,0.0,0.0
p4,20,6,100.0,0.0,0.0,0.0
p5,20,6,100.0,0.0,0.0,0.0
p6,20,6,100.0,0.0,0.0,0.0
p1,25,6,43.92,20.05,18.53,17.5
p2,25,6,33.54,39.13,12.52,14.81
p3,25,6,55.11,10.48,15.63,18.77
p4,25,6,54.73,9.85,15.74,19.69
p5,25,6,54.45,9.09,16.07,20.39
p6,25,6,55.0,8.32,16.46,20.22
p1,25,9,46.99,19.61,18.6,14.79
p2,25,9,34.39,42.84,9.89,12.87
p3,25,9,62.99,8.94,15.18,12.89
p4,25,9,63.49,8.47,14.83,13.22
p5,25,9,63.82,8.0,14.61,13.57
p6,25,9,63.72,7.6,14.51,14.18
p7,25,9,63.42,7.23,14.57,14.79
p8,25,9,63.48,6.81,14.61,15.11
p9,25,9,64.45,6.24,14.4,14.91
p1,50,6,32.65,18.95,19.97,28.43
p2,50,6,27.44,39.55,14.85,18.16
p3,50,6,55.27,10.57,15.12,19.04
p4,50,6,54.41,9.96,15.45,20.18
p5,50,6,53.39,9.3,16.03,21.28
p6,50,6,53.7,8.47,16.6,21.23
p1,50,9,47.95,19.77,18.33,13.95
p2,50,9,36.85,41.45,9.65,12.05
p3,50,9,66.35,8.3,13.36,11.99
p4,50,9,66.03,7.99,13.33,12.65
p5,50,9,65.8,7.72,13.39,13.1
p6,50,9,65.13,7.37,13.51,13.99
p7,50,9,64.06,7.04,13.96,14.94
