position,seat_count,variant,hands_played,total_winnings,avg_winnings_per_hand
p1,6,10,22,-7.8,-0.35454545454545455
p1,6,20,1,-0.1,-0.1
p1,6,25,3250847,-133923.53,-0.04119650355738058
p1,6,50,1555522,-84581.63,-0.05437507794811002
p1,6,100,1854096,-214838.92,-0.11587259775114125
p1,6,200,2695913,-574690.27,-0.21317092576800512
p1,6,300,16,-39.0,-2.4375
p1,6,400,2649487,-1683909.55,-0.6355606009767174
p1,6,500,1,-2.5,-2.5
p1,6,600,1320534,-1116692.19,-0.8456368332810817
p1,6,1000,1736686,-2199047.67,-1.266232162866517
p1,9,10,34,32.75,0.9632352941176471
p1,9,25,2686557,-123697.07,-0.046042972473690304
p1,9,50,584929,-78861.26,-0.1348219356537289
p1,9,100,393542,-77915.82,-0.19798603452744562
p1,9,200,534872,-269646.25,-0.5041322970729446
p1,9,400,728795,-677317.71,-0.9293665708463972
p1,9,500,1,-2.5,-2.5
p1,9,600,313194,-480556.6,-1.5343735831465481
p1,9,1000,316776,-742310.09,-2.343328061469303
p2,6,10,22,22.1,1.0045454545454546
p2,6,20,1,0.1,0.1
p2,6,25,3250847,-265896.32,-0.0817929358102673
p2,6,50,1555522,-154339.79,-0.09922057675815578
p2,6,100,1854096,-247585.62,-0.13353441245760736
p2,6,200,2695913,-937279.49,-0.34766681639949065
p2,6,300,16,202.5,12.65625
p2,6,400,2649487,-2375474.33,-0.896578971702824
p2,6,500,1,-5.0,-5.0
p2,6,600,1320534,-2036122.17,-1.54189302963801
p2,6,1000,1736686,-3801270.68,-2.1888071188458937
p2,9,10,34,-57.15,-1.6808823529411765
p2,9,25,2686557,-267412.77,-0.09953735208298205
p2,9,50,584929,-119675.68,-0.20459864359606036
p2,9,100,393542,-133225.97,-0.33853049992122825
p2,9,200,534872,-451249.27,-0.8436584266890023
p2,9,400,728795,-932039.4,-1.2788773248993202
p2,9,500,1,1687.5,1687.5
p2,9,600,313194,-674168.32,-2.15255822269903
p2,9,1000,316776,-1135962.74,-3.586012639846453
p3,6,10,22,-26.45,-1.2022727272727274
p3,6,20,1,0.0,0.0
p3,6,25,3196194,67215.13,0.021029740372455488
p3,6,50,820376,37462.08,0.045664524559470294
p3,6,100,1440891,118401.22,0.08217222537999058
p3,6,200,1971622,338300.7,0.17158496912694218
p3,6,300,16,-75.5,-4.71875
p3,6,400,2235440,862414.84,0.3857919872597788
p3,6,500,1,0.0,0.0
p3,6,600,1053635,634105.36,0.6018264009832627
p3,6,1000,1333963,1123770.72,0.8424302023369464
p3,9,10,34,-17.4,-0.5117647058823529
p3,9,25,2655802,24108.66,0.00907773245144028
p3,9,50,583508,14928.6,0.025584225066322998
p3,9,100,392841,27659.97,0.07041008957822631
p3,9,200,534474,76817.24,0.14372493329890695
p3,9,400,726534,389303.53,0.5358366298067262
p3,9,500,1,-1685.0,-1685.0
p3,9,600,311678,162569.92,0.5215957494593779
p3,9,1000,313105,437022.78,1.3957706839558615
p4,6,10,20,15.95,0.7975
p4,6,20,1,0.0,0.0
p4,6,25,3086012,95940.68,0.03108888753511004
p4,6,50,808315,60813.23,0.0752345682067016
p4,6,100,1382831,136211.14,0.098501653492003
p4,6,200,1908739,358095.14,0.18760822721178746
p4,6,300,15,-140.5,-9.366666666666667
p4,6,400,2145161,1056609.96,0.49255508560895894
p4,6,500,1,7.5,7.5
p4,6,600,1000204,853290.61,0.8531165742188593
p4,6,1000,1257923,1694909.24,1.347387113519667
p4,9,10,34,11.4,0.3352941176470588
p4,9,25,2619981,35445.94,0.01352908284449391
p4,9,50,582044,21581.63,0.03707903526193896
p4,9,100,392155,27013.15,0.06888385969833356
p4,9,200,534138,86574.94,0.1620834690660466
p4,9,400,667821,398764.06,0.597112190242595
p4,9,600,288623,286462.35,0.9925139368657383
p4,9,1000,290003,327380.94,1.128888114950535
p5,6,10,9,-3.8,-0.4222222222222222
p5,6,20,1,0.0,0.0
p5,6,25,2723360,134460.62,0.0493730612184948
p5,6,50,738531,71009.27,0.09614934241081281
p5,6,100,1186296,120022.61,0.10117425162016899
p5,6,200,1671271,421177.31,0.25201018266935765
p5,6,300,7,52.5,7.5
p5,6,400,1848750,1216383.17,0.6579489763353618
p5,6,500,1,0.0,0.0
p5,6,600,852935,1109319.37,1.3005907484157644
p5,6,1000,1073715,1864628.77,1.736614250522718
p5,9,10,33,5.4,0.16363636363636364
p5,9,25,2578830,54435.81,0.02110872372354905
p5,9,50,579821,23936.75,0.041282999408438124
p5,9,100,391326,32159.79,0.08218158261909507
p5,9,200,533533,69230.99,0.12975952752688213
p5,9,400,516706,362017.58,0.700625849128905
p5,9,600,234660,278355.5,1.18620770476434
p5,9,1000,235695,416435.74,1.7668416385583063
p6,6,20,1,0.0,0.0
p6,6,25,1624025,102292.54,0.0629870476131833
p6,6,50,467382,69673.67,0.14907221501897805
p6,6,100,667163,87789.82,0.13158676365445926
p6,6,200,986784,394396.52,0.39967867334695334
p6,6,400,1060291,923976.02,0.8714362566502969
p6,6,600,488514,556099.11,1.1383483584912613
p6,6,1000,626053,1317009.81,2.1036714303741055
p6,9,10,32,32.85,1.0265625
p6,9,25,2513539,70627.53,0.028098839922515623
p6,9,50,574324,33355.27,0.058077444090791956
p6,9,100,389905,27206.79,0.06977799720444723
p6,9,200,532358,124428.63,0.2337311170302691
p6,9,400,259060,95860.59,0.3700323863197715
p6,9,600,143732,79272.94,0.5515329919572538
p6,9,1000,140335,164328.63,1.1709739551786795
p7,9,10,26,5.15,0.19807692307692307
p7,9,25,2342279,84752.28,0.03618368264412566
p7,9,50,555405,41057.1,0.07392281308234532
p7,9,100,386346,33089.36,0.08564695894353766
p7,9,200,528860,156779.6,0.2964482093559732
p7,9,400,254358,187807.11,0.7383573939093718
p7,9,600,138783,148895.06,1.0728623822802505
p7,9,1000,132602,204338.64,1.5409921418983121
p8,9,10,10,-13.0,-1.3
p8,9,25,1847700,80200.84,0.04340576933484873
p8,9,50,457733,39892.44,0.08715220445106645
p8,9,100,319501,36359.35,0.11380042628974557
