player_id,variant,seat_count,amount_won,hands_played,rn
SJqgKqYNU+kggftWjDxaGw,10,6,-28.5,1,1
BrQxsr8Sgj0BS5NHxzfrgQ,10,6,-6.85,1,2
IymPUWcbbk80nhY0YCre9A,10,6,-3.35,1,3
e0zGWHQI3zt5IymtRg1+sw,10,6,-3.1,1,4
spdWRdAjMMIEfWG7EVLJnw,10,6,-2.35,1,5
B11KR91A/SC5U8ZaFkY4+w,10,6,-1.1,1,6
P8g4NaM55cNbHwIDm+ZTmA,10,6,-0.85,1,7
llgiFdGBHuObppoJjKi0Vg,10,6,-0.6,1,8
ZCafZ1CiqNVilu6Jh334WQ,10,6,-0.6,1,9
jAPiQG1Ke3J51gGUbzyDhg,10,6,-0.6,1,10
UNrNMU4+48eEhNGrSNJz6w,10,9,-25.05,1,1
55C4WxnEEgjeyq8Vg3DP3Q,10,9,-19.3,1,2
m+8sdyioomQjrz+TneZp/w,10,9,-17.6,1,3
lGOAV+LMYK2/Evxo+qjfeA,10,9,-12.8,1,4
5g1/LD+L+UtggLTI8EAKbg,10,9,-10.5,1,5
rJin6XHxhALBaCvBbpE4xQ,10,9,-6.15,2,6
4GJMmHGKzu+gVtalqRy7dA,10,9,-4.35,1,7
rWFN2xlDS1NZY3J5FCrx4Q,10,9,-4.0,1,8
fxTvPdi+3xyCw7ndCKQnTQ,10,9,-3.85,1,9
qBaTt3cBxEe5O4YOwjrgBw,10,9,-3.4,2,10
lL8vGlI4ynJoP0ud3GLBtQ,20,6,-0.1,1,1
iKOPa6pCCO7ZZUAALmvdKA,20,6,0.0,1,2
MRkmuBOzS3eV/NpyY2EIRQ,20,6,0.0,1,3
omJRfU2eCp4vVAGS/3fTLw,20,6,0.0,1,4
Zngd0Rnts0PP4TClEEJ3OA,20,6,0.0,1,5
qsgkmMD+IhLY618tzvR4Ew,20,6,0.1,1,6
kY31p4Bc5rONev80gzmP+w,25,6,-643.92,17421,1
7HyBBnICTREvQJJhZLmfNg,25,6,-565.72,1432,2
fsXPK8tuj/snJfpAoAcv5w,25,6,-487.38,571,3
cHni24ANJpmwsrEImsznRA,25,6,-480.25,3373,4
pQEf3vpEZAb6MHhdckMIjA,25,6,-454.73,6545,5
Rg9rYmVm25gXx4PPdW8inA,25,6,-423.35,461,6
bAXDywaeF4aHbnWV54VP0A,25,6,-423.19,392,7
5h0NVPnEKfG2lXurc5FpQw,25,6,-421.75,3742,8
IEqfboF5/bTpOYbhXIXawA,25,6,-402.72,878,9
Z4+aELaGxGsV5G0ofphVmA,25,6,-396.33,7540,10
BBbDvZjJ1drtheHp0yGt/g,25,9,-928.65,439,1
oj2MS0EfcFdOPZAb1k7lfA,25,9,-583.09,403,2
Pk5HWB+0BsJp8LdIZ9FK7A,25,9,-463.01,4324,3
54244442,25,9,-367.03,5807,4
3QWelIUiXuOvCW2hBur0bQ,25,9,-365.15,247,5
rmCfqxZrrlRqysgNS9j3kw,25,9,-342.22,478,6
sJ5fS9Sxxmf5ata3mmOVUQ,25,9,-336.1,15941,7
7fPnLrWf4LbCFs3kPNwhaQ,25,9,-324.37,435,8
g+kh/C0BHZcEIquTB03Fsg,25,9,-316.87,527,9
ZzG9eMs9A2doJiLXphcS9A,25,9,-305.69,715,10
FrH8tPlleVz3E7Rtykm5SQ,50,6,-1731.15,1352,1
8utzZeaKgkpt8ofv9hqBFg,50,6,-998.96,2851,2
QgCrlC34BvdhtFTue61JOw,50,6,-807.75,487,3
LpObgAcQIQls0W13PBOLoQ,50,6,-767.65,1316,4
nnuPm2WYmebXE5Lbdxikeg,50,6,-702.6,2233,5
QJGrYh0MDw6tGVkVKUuEUQ,50,6,-702.4,1896,6
sj199wrr993pj5BMxPLzFg,50,6,-667.65,2226,7
BecpLvSTkcSB3QZ1XuXhEg,50,6,-660.6,2405,8
ST/J+4XwyZsSh1c5XeMytA,50,6,-653.3,105,9
WaEBd3Ktv6ZqX1J/LbDuFg,50,6,-646.75,172,10
zXW6sKixo2p7CUEWoMEqsA,50,9,-552.16,1672,1
itKorelARZBbNcn1ZNoSOg,50,9,-454.14,2204,2
AI/oYPgYhOcAXJbj4bvIag,50,9,-436.24,495,3
HMPJaTacsYjf/FaIRD/zhA,50,9,-414.94,947,4
3LwIRLJZgdZitSdT0+PEzg,50,9,-387.21,3235,5
LLlS4UbqlnzaXXa8ZtBcqg,50,9,-385.79,497,6
SWQGrF7oK5Pr3ynaJScM7g,50,9,-362.8,25,7
JapkyRqJKGv6/EPjLyDcYQ,50,9,-359.01,1726,8
aMUxFe7WOGsaCb4EFE5SaA,50,9,-337.11,7568,9
fhiZca31cHaIBGL5eDhHmQ,50,9,-335.34,1354,10
wZee/HsM2hAACCy4hVD1Hg,100,6,-13216.06,20305,1
UwHuVivRMFOv/Ozy5rUgpg,100,6,-10816.8,55638,2
cZdktMyT4RLgjg+JYUVZig,100,6,-10713.2,8933,3
aEGp/POSUYsKXP5MKKfYOQ,100,6,-7788.42,36478,4
P4knS3pzzBJK22QYj4nFNA,100,6,-6882.17,19224,5
u7W5NWVoB65/GZul+xjhPw,100,6,-6837.86,816,6
Oa5aJjDHJYgBI6tZ1jB3Lw,100,6,-6091.04,7916,7
nKe8UEZ1b3yuDEbTQ/Oqow,100,6,-5527.56,5106,8
yoLy5m8CRec2cWDVYIPSTg,100,6,-5482.77,1678,9
HLkzRn8vhElsa2Piifodcg,100,6,-5446.09,7599,10
1vRq5wXBc4B+qF7OILu8DQ,100,9,-4750.01,16002,1
MJbQhNbe0ToqEsZxRYC/gQ,100,9,-3941.5,49219,2
OiGlb+aSuY0DVV8W/wdPoQ,100,9,-3681.91,14811,3
eBujEn1/8sDKL/CkIj1uxw,100,9,-2417.4,2729,4
PSPWtXaZXRilyOst2Mwt+w,100,9,-2201.52,10635,5
YNQSzgPswgV7lxuPxkPhag,100,9,-2176.83,5457,6
LodGxQQvSvENmG4deua2Pw,100,9,-2069.43,8281,7
WTLId0QOkZCz6APST8hPLQ,100,9,-2061.6,12486,8
rZJZtK7IpPdQRMiHW/WYZQ,100,9,-1969.57,18263,9
39wxXjVUAl+fKwy6sz/1CQ,100,9,-1903.0,17343,10
LEh21LD81GkPBldf2tExFg,200,6,-21930.05,53473,1
t6kv23dzRwaoUaeIm9WoMQ,200,6,-19603.58,4023,2
4jbL9/C6mkeLt4hURCRvxA,200,6,-18872.81,10455,3
67/6xfLhDLC0I9bS1yAVvg,200,6,-16145.66,4675,4
Gbm5s8PFuTmbadhhnKdKzg,200,6,-13800.6,19745,5
aLYhKMrYaRcL5JxL5c/4oQ,200,6,-12328.83,43032,6
Lkw7y5x6a90P38469S2gzw,200,6,-10801.55,29378,7
SabcVf0zQlmEiE2c39l6LA,200,6,-10005.77,11676,8
iRBpLE7YUjrvjgnbUtEaIQ,200,6,-9834.95,15371,9
BNsdnnqgi4YQL3uEpl0lww,200,6,-9608.39,15805,10
OiGlb+aSuY0DVV8W/wdPoQ,200,9,-10589.12,18513,1
pdQno7e6vWuhtYDgUnhwFA,200,9,-10102.55,31484,2
4BqkVydhX8HfZb0Pdhsj/g,200,9,-6974.75,6443,3
PqWctggsaGjHXQ6c4TmUKQ,200,9,-6517.48,12504,4
3CdrFQasyfQvBXSYorZLEw,200,9,-5810.36,22918,5
1plVqKXeYe8uwLvNldgq8Q,200,9,-5283.81,26126,6
SYN++mGkawnz3hjeqTj1og,200,9,-4581.26,12475,7
pwDVQ1QvWrUq1ENAKwtJgw,200,9,-3513.33,15513,8
S5V6MiWDQUtq8+kt5fQXBg,200,9,-3208.3,1585,9
5z8MblhgCeZmSpHMO2aCSg,200,9,-3182.83,10400,10
fGPNc4hi4WLRgbGeJ3PJnw,300,6,-210.0,1,1
eIFr/uuqo2Ubf7HX+1EdBA,300,6,-136.0,1,2
UmWoMs4FJNrV1YbrH9novQ,300,6,-93.0,2,3
GAFz6u7A/oVWG/arfb4L0g,300,6,-54.0,1,4
/4wUSOl95yJk+qTSwcmVuQ,300,6,-39.0,1,5
+v/KdKImBTzTiejeXeCAxA,300,6,-30.0,1,6
9xeR2zoZ+e7DTM7IhHrMQQ,300,6,-21.0,1,7
Mcp4hhaSe6qNfjR/jFhxEg,300,6,-21.0,1,8
VO3mrGg36AFPvU6Q+Ovs5g,300,6,-18.0,1,9
i9qtu8LPTtQXuDCPW+b7pg,300,6,-13.5,2,10
Kqn5BsTzCWB2xTq5sozKeA,400,6,-51615.36,16866,1
t6kv23dzRwaoUaeIm9WoMQ,400,6,-34027.37,8314,2
yxLah1c7kaXBAGqk7hcISQ,400,6,-31406.87,97657,3
qWw3vFfaYYFGPgsFuslwfw,400,6,-26334.59,13064,4
ykYSJBZmQtPu7XgprfzixA,400,6,-25129.49,52167,5
8Lf9a9yJDUOWBPjC4+mXjA,400,6,-23703.25,10579,6
KJjf5f2AI6pm0PBaCgWbKA,400,6,-21631.47,9925,7
5KNOgJFPiC9xOSyFhzuNDQ,400,6,-20436.52,8671,8
C4WxtgZQQNvrPgOF8UrPWg,400,6,-19248.0,1216,9
oBt4YPEaKjj3/GpTcyzA4Q,400,6,-18652.96,9260,10
GMOv2nPl6rwcpilFzlOayA,400,9,-14086.94,12998,1
EilLOn9x4/rz3p50hGMqvA,400,9,-8320.2,823,2
fNeQr5SMs1H4ToKK6QgUsQ,400,9,-6853.3,10773,3
TjOpihnoqJMh1+/1usN9fg,400,9,-6335.25,87,4
3U6KkXXv+ZS9LZwPlt1xQA,400,9,-6032.15,24682,5
WdWeIxnJLMYOasPlM07Ulw,400,9,-5774.51,812,6
h59eNZbIRZuLXXqPtrik+g,400,9,-5526.15,2040,7
5z8MblhgCeZmSpHMO2aCSg,400,9,-5327.75,10252,8
+cLURCBdMHWO0aHHnCRbbA,400,9,-5027.65,4825,9
yVr0E/wFBOryZOL0zm+CTA,400,9,-5026.45,1312,10
5LtDmBIq+ekWrSbrYrPT1Q,500,6,-5.0,1,1
mEZKb366P62x5+xClxzN3Q,500,6,-2.5,1,2
