game_id,variant,seat_count,final_pot
12316636,10,6,1.0
13393154,10,6,2.15
12293002,10,6,2.35
11384567,10,6,2.55
15031663,10,6,4.25
12543766,10,6,6.25
13991057,10,6,6.3
12579573,10,6,13.6
14051379,10,6,14.65
11647524,10,6,57.05
11527415,10,9,8.7
14912129,10,9,8.75
12746600,10,9,12.95
13297308,10,9,13.4
14493346,10,9,20.95
14385840,10,9,21.05
13812163,10,9,25.75
14385462,10,9,35.3
14338194,10,9,38.6
11898402,10,9,53.5
18259991,20,6,0.3
18551216,25,6,327.31
12900486,25,6,333.6
13316890,25,6,341.8
11040522,25,6,351.2
11850820,25,6,365.35
14770649,25,6,421.05
18801368,25,6,468.32
12524177,25,6,496.3
18802311,25,6,502.39
18796819,25,6,541.26
11697636,25,9,218.5
14921184,25,9,223.5
13682477,25,9,226.5
19145204,25,9,227.14
13412899,25,9,227.65
18215308,25,9,235.67
19439699,25,9,236.96
19439079,25,9,247.31
12264602,25,9,286.2
14437471,25,9,293.25
17133074,50,6,813.4
1842598,50,6,831.6
16911979,50,6,858.0
16282879,50,6,914.4
16504047,50,6,1059.6
16295122,50,6,1106.0
1747800,50,6,1157.1
16500957,50,6,1177.1
1043837,50,6,1207.18
887333,50,6,1573.78
1072393,50,9,410.5
1069181,50,9,418.05
871943,50,9,419.75
1755636,50,9,450.95
1754709,50,9,454.85
16505450,50,9,477.05
16006828,50,9,508.95
1711665,50,9,536.65
1064387,50,9,543.63
1069513,50,9,557.5
4784289,100,6,2331.94
3557434,100,6,2394.5
3528305,100,6,2435.68
3621660,100,6,2633.4
3966738,100,6,2716.68
3542812,100,6,2915.08
3971607,100,6,3099.46
3539568,100,6,3931.1
3636179,100,6,3974.1
3542817,100,6,4435.6
4398729,100,9,761.76
251578,100,9,768.0
4728955,100,9,810.34
92220,100,9,833.5
4233733,100,9,855.0
105504,100,9,859.0
4234215,100,9,871.0
4292981,100,9,1097.2
4232875,100,9,1330.12
4327753,100,9,1496.2
6737531,200,6,3803.98
6659623,200,6,3826.5
10361781,200,6,3897.0
5793331,200,6,4035.0
5815558,200,6,4129.2
5854523,200,6,4312.8
6392703,200,6,4493.8
6402036,200,6,4669.0
5503256,200,6,4697.4
6091468,200,6,4720.4
9904310,200,9,2009.05
10779336,200,9,2072.7
5746179,200,9,2081.38
5752029,200,9,2093.08
390102,200,9,2115.08
6085762,200,9,2277.9
6435895,200,9,2459.96
10296516,200,9,2793.3
5480067,200,9,3066.46
5487124,200,9,3236.76
2327390,300,6,37.5
2315580,300,6,61.5
2208095,300,6,73.5
2562512,300,6,76.5
2315792,300,6,109.5
2173041,300,6,126.0
2208103,300,6,133.5
2351541,300,6,276.5
2315591,300,6,408.0
2362877,300,6,421.5
15811724,400,6,7173.2
7075391,400,6,7258.32
15812336,400,6,7264.2
7362437,400,6,7374.6
6891315,400,6,7388.0
7951294,400,6,7634.88
6895972,400,6,8128.0
15531520,400,6,8951.0
7739829,400,6,9219.0
15813784,400,6,9789.2
8727393,400,9,4106.25
8643546,400,9,4157.8
8769246,400,9,4194.8
9036322,400,9,4265.5
8917332,400,9,4271.6
9043478,400,9,4416.3
9031743,400,9,4621.65
8919787,400,9,4626.3
8971244,400,9,4724.6
8796508,400,9,5767.4
1338588,500,6,37.5
8542607,500,9,3372.5
17463447,600,6,8414.9
17347544,600,6,8456.5
2201335,600,6,9067.6
2550686,600,6,9073.5
17491424,600,6,9897.5
2207684,600,6,10045.0
2249312,600,6,10300.6
2542338,600,6,10392.2
2258720,600,6,10480.7
9222281,600,6,11749.95
9200710,600,9,5230.6
2508357,600,9,5415.6
9177822,600,9,5483.2
9213808,600,9,5710.9
9133707,600,9,5804.0
9230351,600,9,5916.9
9173697,600,9,6136.8
8274032,600,9,6273.14
2406349,600,9,6666.0
2532228,600,9,7018.5
60016,1000,6,16700.0
17740319,1000,6,16783.54
1323357,1000,6,17261.0
3065708,1000,6,18722.44
1313107,1000,6,18990.6
2848819,1000,6,20988.0
1319003,1000,6,21488.5
15380,1000,6,22464.86
2751163,1000,6,26768.0
1316275,1000,6,30992.0
8420674,1000,9,10551.6
8412012,1000,9,10877.6
1465603,1000,9,11049.0
17978086,1000,9,11112.94
1452067,1000,9,11639.0
8466726,1000,9,12017.9
8546493,1000,9,12551.7
1279101,1000,9,12671.75
8507418,1000,9,12813.0
1590384,1000,9,15058.0
