variant,seat_count,hand,winnings
1000,6,AsAh,187663.29
1000,6,AhAc,185861.13
1000,6,AcAd,185426.08
1000,6,AdAc,161536.59
1000,6,AdAh,161236.42
1000,6,AcAh,158229.66
1000,6,AsAc,155397.31
1000,6,AsAd,151811.46
1000,6,KhKc,151075.39
1000,6,AcAs,150314.43
1000,6,AdAs,147209.46
1000,6,AhAd,142383.55
1000,6,AhAs,139126.36
400,6,AcAs,127153.07
1000,6,KdKs,120512.58
1000,6,KsKc,118477.47
1000,6,KhKs,117979.8
400,6,AcAd,116378.38
400,6,AhAs,113746.49
400,6,AsAc,113702.27
1000,6,QsQc,113271.33
400,6,AhAc,110521.2
1000,6,KcKd,109305.66
400,6,AsAh,107489.85
400,6,AsAd,106664.01
600,6,AsAc,106153.8
400,6,AdAh,104919.88
1000,6,KcKh,104653.99
400,6,AdAc,103663.41
600,6,AsAh,100413.31
400,6,AcAh,97939.01
1000,6,KdKc,96132.02
600,6,AdAs,94855.98
600,6,AcAh,94529.63
400,6,AhAd,93784.84
1000,6,KsKd,93716.74
1000,6,QdQs,92446.45
600,6,AdAh,91546.27
1000,6,KdKh,91422.96
1000,6,KsKh,89609.52
600,6,AsAd,89551.55
400,6,KhKd,88663.61
400,6,AdAs,88546.19
600,6,AcAs,88451.9
1000,6,KcKs,87750.25
600,6,AhAd,87080.63
1000,6,KhKd,85029.65
400,6,KdKh,84792.57
1000,6,JdJc,84036.18
1000,6,QcQd,82202.63
1000,6,QhQc,81983.41
1000,9,AcAh,81391.56
1000,6,QdQh,80089.36
600,6,AcAd,78901.81
600,6,AdAc,77819.39
400,6,KdKc,77323.09
400,6,KsKd,76793.37
400,6,KcKh,76672.53
400,6,KsKc,76624.78
1000,6,QcQh,74644.62
600,6,KdKh,74495.54
1000,6,QhQs,74399.98
1000,9,AdAs,73117.55
600,6,AhAc,72541.24
1000,6,QsQh,72348.26
600,6,AhAs,71618.36
400,6,KcKd,71218.68
400,6,KhKc,70826.9
1000,6,JsJd,70686.86
1000,6,JcJs,69883.82
1000,9,AhAs,69456.86
1000,6,QdQc,69089.17
400,6,KcKs,68233.29
1000,9,AcAd,68219.77
400,6,QhQd,68170.27
600,6,KhKs,67954.54
400,6,KdKs,67804.42
600,6,KcKd,67120.88
1000,6,ThTs,66940.44
400,6,KhKs,66286.31
600,6,KdKc,66236.9
1000,6,JsJh,66229.62
600,6,KdKs,64003.81
1000,6,QhQd,63373.24
400,6,QsQh,63315.26
1000,6,TcTh,62768.21
1000,6,QcQs,62649.57
1000,6,JhJs,62308.41
400,6,QsQc,62212.36
1000,9,AhAd,61701.7
400,6,QhQs,61679.79
1000,6,JdJh,61586.15
1000,6,JcJd,61379.24
400,6,KsKh,60110.31
1000,9,AsAh,59498.98
1000,6,7s7c,58546.96
400,9,AsAc,58457.4
400,9,AhAc,58293.04
1000,6,QsQd,58122.02
1000,6,TdTc,56645.96
600,6,KcKs,56287.03
400,9,AdAh,56092.85
400,6,QsQd,55675.4
600,6,QsQd,55435.24
1000,6,ThTd,55157.48
1000,9,AsAc,55093.86
1000,6,TdTs,55029.79
400,9,AsAd,54886.87
1000,6,TsTd,54706.91
400,6,QdQh,54567.42
1000,6,KhAh,54369.25
400,6,QcQs,53848.28
1000,9,AcAs,53839.23
400,6,QdQs,53465.51
400,6,QcQd,53317.44
400,6,QcQh,53071.04
1000,6,TsTc,52843.68
600,6,KhKc,52522.63
1000,6,JsJc,52457.2
400,9,AhAs,52452.24
400,6,JdJh,52067.27
1000,9,AdAc,52030.96
600,9,AcAd,51952.28
400,9,AdAs,51823.06
